         t             x1             x2             v1             v2             p1             p2
  0.000000       1.000000      -0.800000       0.000000       0.000000       0.000000       0.000000
  0.005000       0.999795      -0.799900      -0.081971       0.039992      -0.081971       0.079985
  0.010000       0.999180      -0.799600      -0.163853       0.079959      -0.163853       0.159918
  0.015000       0.998157      -0.799100      -0.245597       0.119885      -0.245597       0.239770
  0.020000       0.996725      -0.798401      -0.327154       0.159754      -0.327154       0.319508
  0.025000       0.994886      -0.797503      -0.408477       0.199551      -0.408477       0.399101
  0.030000       0.992640      -0.796406      -0.489518       0.239260      -0.489518       0.478520
  0.035000       0.989991      -0.795111      -0.570230       0.278866      -0.570230       0.557732
  0.040000       0.986939      -0.793618      -0.650565       0.318354      -0.650565       0.636708
  0.045000       0.983486      -0.791927      -0.730477       0.357708      -0.730477       0.715416
  0.050000       0.979635      -0.790041      -0.809921       0.396914      -0.809921       0.793828
  0.055000       0.975388      -0.787958      -0.888851       0.435956      -0.888851       0.871912
  0.060000       0.970747      -0.785681      -0.967223       0.474819      -0.967223       0.949638
  0.065000       0.965716      -0.783211      -1.044992       0.513489      -1.044992       1.026978
  0.070000       0.960298      -0.780547      -1.122116       0.551951      -1.122116       1.103903
  0.075000       0.954496      -0.777691      -1.198552       0.590191      -1.198552       1.180381
  0.080000       0.948314      -0.774645      -1.274259       0.628193      -1.274259       1.256387
  0.085000       0.941755      -0.771410      -1.349197       0.665945      -1.349197       1.331890
  0.090000       0.934823      -0.767986      -1.423324       0.703431      -1.423324       1.406862
  0.095000       0.927523      -0.764376      -1.496604       0.740639      -1.496604       1.481277
  0.100000       0.919859      -0.760580      -1.568998       0.777553      -1.568998       1.555107
  0.105000       0.911835      -0.756601      -1.640470       0.814162      -1.640470       1.628324
  0.110000       0.903456      -0.752439      -1.710984       0.850451      -1.710984       1.700902
  0.115000       0.894727      -0.748097      -1.780506       0.886408      -1.780506       1.772815
  0.120000       0.885652      -0.743576      -1.849003       0.922019      -1.849003       1.844038
  0.125000       0.876238      -0.738878      -1.916442       0.957272      -1.916442       1.914544
  0.130000       0.866490      -0.734004      -1.982792       0.992155      -1.982792       1.984310
  0.135000       0.856412      -0.728957      -2.048024       1.026655      -2.048024       2.053310
  0.140000       0.846012      -0.723738      -2.112109       1.060761      -2.112109       2.121522
  0.145000       0.835293      -0.718350      -2.175020       1.094461      -2.175020       2.188921
  0.150000       0.824263      -0.712794      -2.236731       1.127742      -2.236731       2.255485
  0.155000       0.812928      -0.707073      -2.297216       1.160596      -2.297216       2.321191
  0.160000       0.801293      -0.701189      -2.356453       1.193009      -2.356453       2.386018
  0.165000       0.789366      -0.695144      -2.414418       1.224972      -2.414418       2.449944
  0.170000       0.777151      -0.688940      -2.471091       1.256474      -2.471091       2.512948
  0.175000       0.764657      -0.682580      -2.526452       1.287505      -2.526452       2.575010
  0.180000       0.751889      -0.676066      -2.580482       1.318056      -2.580482       2.636111
  0.185000       0.738854      -0.669400      -2.633164       1.348116      -2.633164       2.696232
  0.190000       0.725560      -0.662585      -2.684481       1.377677      -2.684481       2.755353
  0.195000       0.712012      -0.655624      -2.734418       1.406729      -2.734418       2.813458
  0.200000       0.698218      -0.648519      -2.782962       1.435264      -2.782962       2.870527
  0.205000       0.684184      -0.641272      -2.830100       1.463273      -2.830100       2.926546
  0.210000       0.669919      -0.633887      -2.875820       1.490749      -2.875820       2.981497
  0.215000       0.655429      -0.626366      -2.920112       1.517683      -2.920112       3.035366
  0.220000       0.640720      -0.618711      -2.962968       1.544068      -2.962968       3.088136
  0.225000       0.625801      -0.610926      -3.004378       1.569897      -3.004378       3.139793
  0.230000       0.610679      -0.603013      -3.044337       1.595162      -3.044337       3.190324
  0.235000       0.595360      -0.594975      -3.082837       1.619858      -3.082837       3.239716
  0.240000       0.579853      -0.586815      -3.119875       1.643977      -3.119875       3.287955
  0.245000       0.564164      -0.578536      -3.155446       1.667515      -3.155446       3.335029
  0.250000       0.548301      -0.570141      -3.189547       1.690464      -3.189547       3.380928
  0.255000       0.532271      -0.561633      -3.222178       1.712820      -3.222178       3.425641
  0.260000       0.516082      -0.553014      -3.253335       1.734578      -3.253335       3.469156
  0.265000       0.499740      -0.544288      -3.283021       1.755732      -3.283021       3.511465
  0.270000       0.483254      -0.535458      -3.311235       1.776279      -3.311235       3.552558
  0.275000       0.466630      -0.526526      -3.337980       1.796213      -3.337980       3.592426
  0.280000       0.449877      -0.517497      -3.363257       1.815531      -3.363257       3.631063
  0.285000       0.433000      -0.508372      -3.387071       1.834230      -3.387071       3.668460
  0.290000       0.416008      -0.499155      -3.409425       1.852305      -3.409425       3.704610
  0.295000       0.398908      -0.489850      -3.430324       1.869754      -3.430324       3.739508
  0.300000       0.381707      -0.480459      -3.449774       1.886574      -3.449774       3.773148
  0.305000       0.364413      -0.470985      -3.467781       1.902763      -3.467781       3.805525
  0.310000       0.347032      -0.461432      -3.484352       1.918317      -3.484352       3.836634
  0.315000       0.329572      -0.451803      -3.499495       1.933236      -3.499495       3.866472
  0.320000       0.312039      -0.442101      -3.513217       1.947517      -3.513217       3.895034
  0.325000       0.294442      -0.432329      -3.525528       1.961159      -3.525528       3.922318
  0.330000       0.276787      -0.422490      -3.536437       1.974161      -3.536437       3.948322
  0.335000       0.259080      -0.412589      -3.545954       1.986522      -3.545954       3.973043
  0.340000       0.241329      -0.402626      -3.554089       1.998241      -3.554089       3.996481
  0.345000       0.223541      -0.392607      -3.560852       2.009318      -3.560852       4.018635
  0.350000       0.205723      -0.382534      -3.566255       2.019752      -3.566255       4.039504
  0.355000       0.187881      -0.372411      -3.570310       2.029544      -3.570310       4.059089
  0.360000       0.170022      -0.362240      -3.573029       2.038695      -3.573029       4.077389
  0.365000       0.152153      -0.352025      -3.574423       2.047204      -3.574423       4.094407
  0.370000       0.134280      -0.341769      -3.574506       2.055072      -3.574506       4.110144
  0.375000       0.116410      -0.331475      -3.573291       2.062301      -3.573291       4.124602
  0.380000       0.098549      -0.321147      -3.570791       2.068892      -3.570791       4.137784
  0.385000       0.080704      -0.310787      -3.567020       2.074846      -3.567020       4.149692
  0.390000       0.062881      -0.300400      -3.561992       2.080165      -3.561992       4.160330
  0.395000       0.045086      -0.289987      -3.555720       2.084851      -3.555720       4.169703
  0.400000       0.027326      -0.279552      -3.548219       2.088906      -3.548219       4.177813
  0.405000       0.009606      -0.269099      -3.539503       2.092333      -3.539503       4.184666
  0.410000      -0.008067      -0.258630      -3.529588       2.095134      -3.529588       4.190267
  0.415000      -0.025688      -0.248148      -3.518489       2.097311      -3.518489       4.194622
  0.420000      -0.043250      -0.237658      -3.506219       2.098868      -3.506219       4.197735
  0.425000      -0.060748      -0.227161      -3.492794       2.099807      -3.492794       4.199615
  0.430000      -0.078176      -0.216661      -3.478230       2.100133      -3.478230       4.200267
  0.435000      -0.095528      -0.206160      -3.462542       2.099849      -3.462542       4.199698
  0.440000      -0.112799      -0.195663      -3.445745       2.098957      -3.445745       4.197915
  0.445000      -0.129984      -0.185172      -3.427855       2.097463      -3.427855       4.194927
  0.450000      -0.147076      -0.174690      -3.408888       2.095370      -3.408888       4.190741
  0.455000      -0.164071      -0.164219      -3.388858       2.092683      -3.388858       4.185365
  0.460000      -0.180963      -0.153764      -3.367781       2.089405      -3.367781       4.178809
  0.465000      -0.197747      -0.143326      -3.345674       2.085541      -3.345674       4.171081
  0.470000      -0.214418      -0.132909      -3.322552       2.081096      -3.322552       4.162191
  0.475000      -0.230971      -0.122516      -3.298430       2.076074      -3.298430       4.152148
  0.480000      -0.247401      -0.112149      -3.273324       2.070481      -3.273324       4.140962
  0.485000      -0.263703      -0.101812      -3.247249       2.064322      -3.247249       4.128643
  0.490000      -0.279872      -0.091507      -3.220222       2.057601      -3.220222       4.115202
  0.495000      -0.295903      -0.081237      -3.192258       2.050325      -3.192258       4.100649
  0.500000      -0.311793      -0.071005      -3.163372       2.042498      -3.163372       4.084995
  0.505000      -0.327535      -0.060813      -3.133580       2.034126      -3.133580       4.068252
  0.510000      -0.343127      -0.050665      -3.102897       2.025215      -3.102897       4.050431
  0.515000      -0.358563      -0.040562      -3.071339       2.015771      -3.071339       4.031543
  0.520000      -0.373839      -0.030508      -3.038920       2.005800      -3.038920       4.011600
  0.525000      -0.388951      -0.020505      -3.005657       1.995307      -3.005657       3.990615
  0.530000      -0.403894      -0.010555      -2.971563       1.984300      -2.971563       3.968599
  0.535000      -0.418665      -0.000663      -2.936655       1.972783      -2.936655       3.945566
  0.540000      -0.433259       0.009172      -2.900946       1.960764      -2.900946       3.921528
  0.545000      -0.447673       0.018944      -2.864453       1.948249      -2.864453       3.896498
  0.550000      -0.461903       0.028653      -2.827189       1.935245      -2.827189       3.870489
  0.555000      -0.475944       0.038296      -2.789169       1.921757      -2.789169       3.843514
  0.560000      -0.489793       0.047870      -2.750408       1.907794      -2.750408       3.815587
  0.565000      -0.503447       0.057373      -2.710920       1.893361      -2.710920       3.786722
  0.570000      -0.516901       0.066803      -2.670720       1.878466      -2.670720       3.756931
  0.575000      -0.530153       0.076157      -2.629821       1.863115      -2.629821       3.726230
  0.580000      -0.543198       0.085433      -2.588239       1.847316      -2.588239       3.694631
  0.585000      -0.556034       0.094629      -2.545986       1.831075      -2.545986       3.662150
  0.590000      -0.568657       0.103743      -2.503078       1.814400      -2.503078       3.628801
  0.595000      -0.581064       0.112773      -2.459527       1.797299      -2.459527       3.594598
  0.600000      -0.593251       0.121716      -2.415347       1.779778      -2.415347       3.559555
  0.605000      -0.605216       0.130570      -2.370552       1.761844      -2.370552       3.523688
  0.610000      -0.616956       0.139333      -2.325155       1.743506      -2.325155       3.487012
